"path","type","status","target_active_rms_dbfs","peak_ceiling_dbfs","before_active_rms_dbfs","before_peak_dbfs","gain_db","after_active_rms_dbfs","after_peak_dbfs"
"assets\battle_bgm.wav","wav","normalized","-18.00","-1.00","-12.01","-1.31","-5.99","-18.00","-7.31"
"assets\media\big_sound.wav","wav","normalized","-18.00","-1.00","-27.51","-13.36","9.51","-18.31","-3.85"
"assets\media\koatari_sound.wav","wav","normalized","-18.00","-1.00","-37.55","-19.41","18.41","-20.40","-1.00"
"assets\media\speed_bgm.wav","wav","normalized","-18.00","-1.00","-36.03","-22.87","18.03","-18.03","-4.85"
"assets\pay1.wav","wav","normalized","-18.00","-1.00","-29.14","-15.36","11.14","-18.54","-4.22"
"assets\payout.wav","wav","normalized","-18.00","-1.00","-16.05","-0.69","-1.95","-17.97","-2.63"
"assets\rep.wav","wav","normalized","-18.00","-1.00","-36.71","-25.17","18.71","-19.26","-6.46"
"assets\voice\abeshi.wav","wav","normalized","-18.00","-1.00","-20.79","-6.22","2.79","-18.07","-3.42"
"assets\voice\achi.wav","wav","normalized","-18.00","-1.00","-20.81","-1.64","0.64","-20.21","-1.00"
"assets\voice\add.wav","wav","normalized","-18.00","-1.00","-23.68","-7.79","5.68","-18.26","-2.12"
"assets\voice\at_1.wav","wav","normalized","-18.00","-1.00","-29.99","-11.33","10.33","-20.59","-1.00"
"assets\voice\at_2.wav","wav","normalized","-18.00","-1.00","-27.18","-10.84","9.18","-18.51","-1.66"
"assets\voice\at_3.wav","wav","normalized","-18.00","-1.00","-26.63","-7.47","6.47","-20.49","-1.00"
"assets\voice\hyahha.wav","wav","normalized","-18.00","-1.00","-16.45","-5.36","-1.55","-17.96","-6.91"
"assets\voice\keizoku.wav","wav","normalized","-18.00","-1.00","-23.99","-7.17","5.99","-18.16","-1.18"
"assets\voice\last.wav","wav","normalized","-18.00","-1.00","-23.39","-3.80","2.80","-20.77","-1.00"
"assets\voice\reach.wav","wav","normalized","-18.00","-1.00","-22.03","-0.97","-0.03","-22.06","-1.00"
"assets\voice\reg.wav","wav","normalized","-18.00","-1.00","-21.41","-3.54","2.54","-18.93","-1.00"
"assets\voice\uwanose.wav","wav","normalized","-18.00","-1.00","-20.84","-5.84","2.84","-18.05","-2.99"
